invoice_date,UnitPrice,Quantity,genre,media_type,minutes
2009-01-01,0.99,1,Rock,Protected AAC audio file,5.7
2009-01-01,0.99,1,Rock,Protected AAC audio file,4.2
2009-01-02,0.99,1,Rock,MPEG audio file,3.4
2009-01-02,0.99,1,Rock,MPEG audio file,3.5
2009-01-02,0.99,1,Rock,MPEG audio file,4.3
2009-01-02,0.99,1,Rock,MPEG audio file,4.3
2009-01-03,0.99,1,Rock,MPEG audio file,3.5
2009-01-03,0.99,1,Rock,MPEG audio file,6.1
2009-01-03,0.99,1,Rock,MPEG audio file,5.3
2009-01-03,0.99,1,Rock,MPEG audio file,5.5
2009-01-03,0.99,1,Rock,MPEG audio file,3.5
2009-01-03,0.99,1,Rock,MPEG audio file,5.1
2009-01-06,0.99,1,Rock,MPEG audio file,2.9
2009-01-06,0.99,1,Rock,MPEG audio file,3.7
2009-01-06,0.99,1,Rock,MPEG audio file,4
2009-01-06,0.99,1,Rock,MPEG audio file,5.7
2009-01-06,0.99,1,Jazz,MPEG audio file,2.8
2009-01-06,0.99,1,Jazz,MPEG audio file,2.8
2009-01-06,0.99,1,Metal,MPEG audio file,7.2
2009-01-06,0.99,1,Metal,MPEG audio file,5.8
2009-01-06,0.99,1,Rock,MPEG audio file,4.3
2009-01-11,0.99,1,Alternative & Punk,MPEG audio file,4.2
2009-01-11,0.99,1,Alternative & Punk,MPEG audio file,4.6
2009-01-11,0.99,1,Rock And Roll,MPEG audio file,2.3
2009-01-11,0.99,1,Jazz,MPEG audio file,4.9
2009-01-11,0.99,1,Metal,MPEG audio file,5.3
2009-01-11,0.99,1,Metal,MPEG audio file,3.2
2009-01-11,0.99,1,Metal,MPEG audio file,3.4
2009-01-11,0.99,1,Metal,MPEG audio file,3.9
2009-01-11,0.99,1,Alternative & Punk,MPEG audio file,3.7
2009-01-11,0.99,1,Alternative & Punk,MPEG audio file,2.7
2009-01-11,0.99,1,Metal,MPEG audio file,6.7
2009-01-11,0.99,1,Blues,MPEG audio file,3.9
2009-01-11,0.99,1,Latin,MPEG audio file,2.4
2009-01-11,0.99,1,Latin,MPEG audio file,3.7
2009-01-19,0.99,1,Latin,MPEG audio file,4.7
2009-02-01,0.99,1,Latin,MPEG audio file,3.1
2009-02-01,0.99,1,Latin,MPEG audio file,2.8
2009-02-01,0.99,1,Latin,MPEG audio file,3.1
2009-02-01,0.99,1,Latin,MPEG audio file,2.2
2009-02-02,0.99,1,Latin,MPEG audio file,2.9
2009-02-02,0.99,1,Latin,MPEG audio file,4.3
2009-02-02,0.99,1,Latin,MPEG audio file,2.8
2009-02-02,0.99,1,Latin,MPEG audio file,2.5
2009-02-03,0.99,1,Latin,MPEG audio file,2.5
2009-02-03,0.99,1,Latin,MPEG audio file,3.7
2009-02-03,0.99,1,Latin,MPEG audio file,4
2009-02-03,0.99,1,Latin,MPEG audio file,2.2
2009-02-03,0.99,1,Latin,MPEG audio file,2.9
2009-02-03,0.99,1,Latin,MPEG audio file,3.6
2009-02-06,0.99,1,Latin,MPEG audio file,4.5
2009-02-06,0.99,1,Latin,MPEG audio file,3.2
2009-02-06,0.99,1,Reggae,MPEG audio file,3.7
2009-02-06,0.99,1,Reggae,MPEG audio file,3.6
2009-02-06,0.99,1,Reggae,MPEG audio file,3.8
2009-02-06,0.99,1,Reggae,MPEG audio file,3.7
2009-02-06,0.99,1,Reggae,MPEG audio file,4.4
2009-02-06,0.99,1,Latin,MPEG audio file,4
2009-02-06,0.99,1,Latin,MPEG audio file,3.5
2009-02-11,0.99,1,Pop,MPEG audio file,3.5
2009-02-11,0.99,1,Rock,MPEG audio file,6.6
2009-02-11,0.99,1,Rock,MPEG audio file,10.3
2009-02-11,0.99,1,Rock,MPEG audio file,1.4
2009-02-11,0.99,1,Soundtrack,MPEG audio file,4.5
2009-02-11,0.99,1,Latin,MPEG audio file,3.7
2009-02-11,0.99,1,Latin,MPEG audio file,2.9
2009-02-11,0.99,1,Latin,MPEG audio file,2.8
2009-02-11,0.99,1,Latin,MPEG audio file,4.5
2009-02-11,0.99,1,Metal,MPEG audio file,2.4
2009-02-11,0.99,1,Rock,MPEG audio file,5.7
2009-02-11,0.99,1,Rock,MPEG audio file,4.1
2009-02-11,0.99,1,Rock,MPEG audio file,4
2009-02-11,0.99,1,Rock,MPEG audio file,4.2
2009-02-19,0.99,1,Jazz,MPEG audio file,4.9
2009-03-04,0.99,1,Jazz,MPEG audio file,5.1
2009-03-04,0.99,1,Jazz,MPEG audio file,5.2
2009-03-04,0.99,1,Jazz,MPEG audio file,4.8
2009-03-04,0.99,1,Alternative & Punk,MPEG audio file,2.7
2009-03-05,0.99,1,Alternative & Punk,MPEG audio file,3.9
2009-03-05,0.99,1,Alternative & Punk,MPEG audio file,3
2009-03-05,0.99,1,Alternative & Punk,MPEG audio file,2.2
2009-03-05,0.99,1,Alternative & Punk,MPEG audio file,2.2
2009-03-06,0.99,1,Alternative & Punk,MPEG audio file,2.2
2009-03-06,0.99,1,Alternative & Punk,MPEG audio file,2.8
2009-03-06,0.99,1,Alternative & Punk,MPEG audio file,3.5
2009-03-06,0.99,1,Rock,MPEG audio file,5.7
2009-03-06,0.99,1,Rock,MPEG audio file,6.5
2009-03-06,0.99,1,Rock,MPEG audio file,3.9
2009-03-09,0.99,1,Latin,MPEG audio file,4.2
2009-03-09,0.99,1,Latin,MPEG audio file,3
2009-03-09,0.99,1,Latin,MPEG audio file,4.3
2009-03-09,0.99,1,Latin,MPEG audio file,4.9
2009-03-09,0.99,1,Alternative & Punk,MPEG audio file,4.7
2009-03-09,0.99,1,Alternative & Punk,MPEG audio file,3.2
2009-03-09,0.99,1,Alternative & Punk,MPEG audio file,6.3
2009-03-09,0.99,1,Rock,MPEG audio file,10.3
2009-03-09,0.99,1,Rock,MPEG audio file,5.6
2009-03-14,0.99,1,Latin,MPEG audio file,5.5
2009-03-14,0.99,1,Rock,MPEG audio file,4.7
2009-03-14,0.99,1,Rock,MPEG audio file,6.3
2009-03-14,0.99,1,Latin,MPEG audio file,3.9
2009-03-14,0.99,1,Jazz,MPEG audio file,5.7
2009-03-14,0.99,1,Jazz,MPEG audio file,3.8
2009-03-14,0.99,1,Jazz,MPEG audio file,4
2009-03-14,0.99,1,Jazz,MPEG audio file,3.1
2009-03-14,0.99,1,Jazz,MPEG audio file,3.2
2009-03-14,0.99,1,Jazz,MPEG audio file,3.3
2009-03-14,0.99,1,Bossa Nova,MPEG audio file,3.7
2009-03-14,0.99,1,Latin,MPEG audio file,2.7
2009-03-14,0.99,1,Latin,MPEG audio file,1.9
2009-03-14,0.99,1,Rock,MPEG audio file,2.5
2009-03-22,0.99,1,Rock,MPEG audio file,3.9
2009-04-04,0.99,1,Rock,MPEG audio file,4.6
2009-04-04,0.99,1,Rock,MPEG audio file,4
2009-04-04,0.99,1,Rock,MPEG audio file,2.7
2009-04-04,0.99,1,Rock,MPEG audio file,4.9
2009-04-05,0.99,1,Rock,MPEG audio file,2.9
2009-04-05,0.99,1,Rock,MPEG audio file,2.1
2009-04-05,0.99,1,Rock,MPEG audio file,3.4
2009-04-05,0.99,1,Rock,MPEG audio file,6.4
2009-04-06,0.99,1,Rock,MPEG audio file,5.7
2009-04-06,0.99,1,Latin,MPEG audio file,4
2009-04-06,0.99,1,Latin,MPEG audio file,3.3
2009-04-06,0.99,1,Latin,MPEG audio file,3.2
2009-04-06,0.99,1,Latin,MPEG audio file,4.9
2009-04-06,0.99,1,Latin,MPEG audio file,5.2
2009-04-09,0.99,1,Latin,MPEG audio file,4.5
2009-04-09,0.99,1,Latin,MPEG audio file,3.1
2009-04-09,0.99,1,Rock,MPEG audio file,4
2009-04-09,0.99,1,Rock,MPEG audio file,10.3
2009-04-09,0.99,1,Rock,MPEG audio file,6.9
2009-04-09,0.99,1,Rock,MPEG audio file,7
2009-04-09,0.99,1,Rock,MPEG audio file,4.9
2009-04-09,0.99,1,Rock,MPEG audio file,4.8
2009-04-09,0.99,1,Rock,MPEG audio file,4.2
2009-04-14,0.99,1,Rock,MPEG audio file,5.9
2009-04-14,0.99,1,Rock,MPEG audio file,5.8
2009-04-14,0.99,1,Rock,MPEG audio file,4.4
2009-04-14,0.99,1,Rock,MPEG audio file,4.2
2009-04-14,0.99,1,Rock,MPEG audio file,4
2009-04-14,0.99,1,Rock,MPEG audio file,5.9
2009-04-14,0.99,1,Jazz,MPEG audio file,5.7
2009-04-14,0.99,1,Latin,MPEG audio file,4.6
2009-04-14,0.99,1,Latin,MPEG audio file,4.5
2009-04-14,0.99,1,Latin,MPEG audio file,5.4
2009-04-14,0.99,1,Latin,MPEG audio file,3
2009-04-14,0.99,1,Blues,MPEG audio file,4.2
